Показник,Територіальний розріз,Вид економічної діяльності,Періодичність,Одиниця виміру,Масштабування,Кількість десяткових знаків,Спеціальне значення даних,Примітки набору даних,Примітки спостереження,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Витрати на наукові дослідження і розробки,Україна,Виробництво гумових і пластмасових виробів,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Ремонт комп'ютерів і обладнання зв'язку,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Рекламна діяльність і дослідження кон'юнктури ринку, інша професійна, наукова та технічна діяльність, ветеринарна діяльність",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Добувна промисловість і розроблення кар'єрів,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Поліграфічна діяльність, тиражування записаної інформації",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,7241.4,16987.2,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво транспортних засобів, н.в.і.у.",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво машин і устатковання, н.в.і.у.",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,306475.4,243135.3,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво зброї та боєприпасів,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,25322.1,8722.7,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво харчових продуктів, напоїв і тютюнових виробів",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво обладнання зв'язку,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво коксу та продуктів нафтоперероблення,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво автотранспортних засобів, причепів і напівпричепів",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Діяльність у сферах права та бухгалтерського обліку, архітектури та інжинірингу, технічні випробування та дослідження",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,144920.3,177860.4,159291.2,,418532.6
Витрати на наукові дослідження і розробки,Україна,Виробництво електронних компонентів і плат,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Оброблення даних, розміщення інформації на веб-вузлах і пов'язана з ними діяльність; веб-портали",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Професійна, наукова та технічна діяльність",Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,11181640.8,12587587.4,14043133.8,13657141.2,15812925.8,14894551.3,14217760.0,18899441.8,21188660.3
Витрати на наукові дослідження і розробки,Україна,Надання інших видів послуг,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Освіта,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,993471.5,1140601.0,1056783.8,1373806.0,1617837.1,1486055.7,1617315.1,1959028.8,2377681.8
Витрати на наукові дослідження і розробки,Україна,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,13379292.4,16773724.5,17254629.7,17022419.3,20973775.2,17299525.9,22706834.3,28507986.6,34653554.4
Витрати на наукові дослідження і розробки,Україна,ІКТ у виробництві,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Інформація та телекомунікації,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,31614.2,36274.2,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Видавнича діяльність, радіомовлення, телебачення",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Будівництво,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,759.0,973.9,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Виробництво готових металевих виробів, комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин, автомобілів та іншого транспортного устатковання",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,1180312.9,,,,4417354.1
Витрати на наукові дослідження і розробки,Україна,Надання послуг догляду та соціальної допомоги,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво з використанням технологій середньонизького рівня,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Транспорт, складське господарство, поштова та кур'єрська діяльність",Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,1182248.4,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,8328.8,2926.4,,,,,,,
Витрати на наукові дослідження і розробки,Вінницька,Усього,Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,39473.3,44803.0,49056.2,39618.3,50756.2,67545.9,76777.3,80908.3,120454.5,142229.4
Витрати на наукові дослідження і розробки,Україна,ІКТ у послугах,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,55376.3,,,,
Витрати на наукові дослідження і розробки,Україна,"Водопостачання; каналізація, поводження з відходами",Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,Виробництво з використанням технологій середньовисокого рівня,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,1040368.3,,,,2553223.8
Витрати на наукові дослідження і розробки,Україна,Фінансова та страхова діяльність,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,,,,,,,,,
Витрати на наукові дослідження і розробки,Україна,"Мистецтво, спорт, розваги та відпочинок",Річна,Гривня,Тисячі,Один,,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.",,,120665.6,142385.6,,142697.0,183817.6,153182.3,149306.6,234200.5,256637.2
Витрати на наукові дослідження і розробки,Україна,Інформаційно-комунікаційні технології (ІКТ) – усього,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,39957.6,55376.3,,,,
Витрати на наукові дослідження і розробки,Україна,Охорона здоров'я та надання соціальної допомоги,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,80009.9,118266.3,,154096.8,166087.9,144765.5,140788.2,125702.8,320841.2
Витрати на наукові дослідження і розробки,Україна,Операції з нерухомим майном,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,14656.4,15292.8,35339.1,15779.5,13662.6,,,634.2,
Витрати на наукові дослідження і розробки,Україна,Виробництво з використанням технологій високого рівня,Річна,Гривня,Тисячі,Один,Конфіденційна статистична інформація,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,,,,,146857.9,,,,2858393.9
Витрати на наукові дослідження і розробки,Україна,Діяльність у сфері адміністративного та допоміжного обслуговування,Річна,Гривня,Тисячі,Один,Явищ не було,"1. Розрахунок показників темпів зростання/зниження здійснюється до попереднього року. 2. За 2014-2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з І кварталу 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані не оприлюднюються з метою виконання вимог Закону України ""Про офіційну статистику"" щодо забезпечення гарантій органів державної статистики щодо статистичної конфіденційності та/або відповідно до Закону України ""Про захист інтересів суб’єктів подання звітності та інших документів у період дії воєнного стану або стану війни"".",,240.6,283.2,,,,,,,
